peer_group,security_code,security_name,prior_preliminary_attention,reviewer_decision,reviewer_reason,calibrated_standard_implication,applies_to_future_markets,decided_at_utc
食品饮料-饮料-白酒,600519,贵州茅台,core_watch,watch,White liquor deserves attention but long-term growth is not optimistic because younger consumers drink less and future gifting/drinking preferences may shift away from baijiu.,Baijiu watchlist should be restricted to the strongest national or category leaders with durable brand and channel power.,true,2026-05-14T00:00:00+00:00
食品饮料-饮料-白酒,000858,五粮液,core_watch,watch,White liquor deserves attention but long-term growth is not optimistic; only the largest leaders justify continued attention.,Baijiu watchlist should be restricted to the strongest national or category leaders with durable brand and channel power.,true,2026-05-14T00:00:00+00:00
食品饮料-饮料-白酒,600809,山西汾酒,core_watch,watch,White liquor deserves attention but long-term growth is not optimistic; Shanxi Fenjiu is retained as a category-leading large company.,Baijiu watchlist should be restricted to the strongest national or category leaders with durable brand and channel power.,true,2026-05-14T00:00:00+00:00
食品饮料-饮料-白酒,000568,泸州老窖,watch,reject,Smaller or non-top-tier baijiu companies are not worth attention even if they rebound after oversold periods; they may fall back in the next downcycle.,Do not include non-top-three baijiu names unless a future reviewer explicitly overrides this industry rule with stronger evidence.,true,2026-05-14T00:00:00+00:00
食品饮料-饮料-白酒,000596,古井贡酒,watch,reject,Regional or smaller baijiu companies do not justify attention under a structurally challenged long-term industry outlook.,Do not include regional baijiu leaders solely for rebound or local-brand reasons.,true,2026-05-14T00:00:00+00:00
食品饮料-饮料-白酒,002304,洋河股份,watch_if_turnaround,reject,Turnaround potential is not enough in a baijiu industry with weak long-term growth prospects.,Reject former leaders or turnaround cases unless they are among the accepted top leaders.,true,2026-05-14T00:00:00+00:00
食品饮料-饮料-白酒,603369,今世缘,watch,reject,Regional baijiu strength is not enough because the next industry downcycle can again pressure smaller names.,Reject regional baijiu names even when they have local moat unless they reach top-leader status.,true,2026-05-14T00:00:00+00:00
食品饮料-饮料-白酒,603198,迎驾贡酒,watch,reject,Regional baijiu strength and rebound potential are insufficient for ongoing attention under long-term demand headwinds.,Reject regional baijiu names even when they have local moat unless they reach top-leader status.,true,2026-05-14T00:00:00+00:00
食品饮料-饮料-白酒,603589,口子窖,watch_if_turnaround,reject,Potential channel or price repair does not overcome long-term industry headwinds and non-top-tier status.,Reject turnaround-only baijiu candidates.,true,2026-05-14T00:00:00+00:00
食品饮料-饮料-白酒,600779,水井坊,reject_for_now,reject,Non-top-tier baijiu names are outside the calibrated attention scope.,Reject non-top-tier baijiu candidates by default.,true,2026-05-14T00:00:00+00:00
食品饮料-饮料-白酒,600702,舍得酒业,reject_for_now,reject,Non-top-tier baijiu names are outside the calibrated attention scope.,Reject non-top-tier baijiu candidates by default.,true,2026-05-14T00:00:00+00:00
食品饮料-饮料-白酒,000799,酒鬼酒,reject_for_now,reject,Non-top-tier baijiu names are outside the calibrated attention scope.,Reject non-top-tier baijiu candidates by default.,true,2026-05-14T00:00:00+00:00
食品饮料-饮料-白酒,600559,老白干酒,reject_for_now,reject,Non-top-tier baijiu names are outside the calibrated attention scope.,Reject non-top-tier baijiu candidates by default.,true,2026-05-14T00:00:00+00:00
食品饮料-饮料-白酒,000860,顺鑫农业,reject_for_now,reject,Non-top-tier baijiu names are outside the calibrated attention scope.,Reject non-top-tier baijiu candidates by default.,true,2026-05-14T00:00:00+00:00
食品饮料-饮料-白酒,603919,金徽酒,reject_for_now,reject,Non-top-tier baijiu names are outside the calibrated attention scope.,Reject non-top-tier baijiu candidates by default.,true,2026-05-14T00:00:00+00:00
食品饮料-饮料-白酒,600197,伊力特,reject_for_now,reject,Non-top-tier baijiu names are outside the calibrated attention scope.,Reject non-top-tier baijiu candidates by default.,true,2026-05-14T00:00:00+00:00
食品饮料-饮料-白酒,002646,天佑德酒,reject_for_now,reject,Non-top-tier baijiu names are outside the calibrated attention scope.,Reject non-top-tier baijiu candidates by default.,true,2026-05-14T00:00:00+00:00
食品饮料-饮料-白酒,600199,金种子酒,reject_for_now,reject,Non-top-tier baijiu names are outside the calibrated attention scope.,Reject non-top-tier baijiu candidates by default.,true,2026-05-14T00:00:00+00:00
食品饮料-饮料-白酒,000995,皇台酒业,reject_for_now,reject,Non-top-tier baijiu names are outside the calibrated attention scope.,Reject non-top-tier baijiu candidates by default.,true,2026-05-14T00:00:00+00:00
食品饮料-饮料-白酒,600696,*ST岩石,reject_for_now,reject,Non-top-tier baijiu names are outside the calibrated attention scope.,Reject non-top-tier baijiu candidates by default.,true,2026-05-14T00:00:00+00:00
