peer_group,security_code,security_name,prior_preliminary_attention,reviewer_decision,decision_source,reviewer_or_inferred_reason,analyst_response,calibrated_standard_implication,applies_to_future_markets,decided_at_utc
金融-银行-股份制与城商行,600036,招商银行,core_watch,watch,reviewer_explicit,Reviewer explicitly retains China Merchants Bank.,Accepted. It is the A-share bank quality anchor because its retail wealth management core deposits customer franchise and risk culture are hard to replicate.,Bank core watch requires a differentiated liability base customer ecosystem risk culture and business model that are hard for another funded player to replicate.,true,2026-05-14T00:00:00+00:00
金融-银行-股份制与城商行,002142,宁波银行,watch,watch,reviewer_explicit,Reviewer explicitly retains Bank of Ningbo.,Accepted. It is retained as a differentiated city-bank sample rather than as a weaker copy of China Merchants Bank.,City banks can be retained when SME service private-business relationships risk selection and regional operating culture create a separate hard-to-replace franchise.,true,2026-05-14T00:00:00+00:00
金融-银行-股份制与城商行,601658,邮储银行,watch_if_differentiated,watch,reviewer_explicit,Reviewer explicitly retains Postal Savings Bank of China.,Accepted. The postal network down-market customer base and deposit franchise are accepted as a distinct moat even though profitability quality is lower than China Merchants Bank.,A bank can be retained for a unique low-cost deposit and distribution network when that network is not covered by the retained retail wealth-management leader.,true,2026-05-14T00:00:00+00:00
金融-银行-股份制与城商行,601128,常熟银行,watch_if_differentiated,watch,reviewer_explicit,Reviewer explicitly retains Changshu Bank.,Accepted. The microloan and small-business bank model is accepted as a distinct niche that should be observed separately from national banks and larger city banks.,Small regional banks can be retained when their microloan underwriting local information and risk-control model are the core thesis rather than simple regional credit beta.,true,2026-05-14T00:00:00+00:00
金融-银行-国有银行,601398,工商银行,reject_from_quality_watch,reject,reviewer_explicit,Reviewer rejects all other banks in this group.,Accepted. ICBC remains relevant for future value dividend or balance-sheet-stability work but does not need to consume quality-watchlist attention here.,Large stable state banks should be reclassified away from quality watch unless they show a differentiated business-quality moat beyond scale system importance and dividend stability.,true,2026-05-14T00:00:00+00:00
金融-银行-国有银行,601939,建设银行,reject_from_quality_watch,reject,reviewer_explicit,Reviewer rejects all other banks in this group.,Accepted. CCB has stability and scale but current evidence does not justify a separate quality-watch role beside the retained banks.,System importance and state-backed stability are not enough for this quality watchlist by themselves.,true,2026-05-14T00:00:00+00:00
金融-银行-股份制与城商行,601998,中信银行,reject_for_now,reject,reviewer_explicit,Reviewer rejects all other banks in this group.,Accepted. CITIC Bank does not show an irreplaceable franchise not already covered by China Merchants Bank or the retained differentiated banks.,Reject large joint-stock banks whose advantages are weaker versions of a retained leader or too dependent on group synergy without clear standalone moat.,true,2026-05-14T00:00:00+00:00
金融-银行-股份制与城商行,000001,平安银行,reject_for_now,reject,reviewer_explicit,Reviewer rejects all other banks in this group.,Accepted. Ping An Bank's retail transition and group synergy are not enough to overcome the dominance comparison with China Merchants Bank.,Reject retail-bank challengers when the retained retail leader has stronger customer quality brand risk culture and profitability resilience.,true,2026-05-14T00:00:00+00:00
金融-银行-股份制与城商行,601166,兴业银行,reject_for_now,reject,reviewer_explicit,Reviewer rejects all other banks in this group.,Accepted. Industrial Bank has green finance and interbank features but the current evidence does not prove a moat strong enough for quality-watch retention.,Thematic banking features should not qualify unless they create durable customers liability advantage risk selection or cross-cycle profitability.,true,2026-05-14T00:00:00+00:00
金融-银行-股份制与城商行,600919,江苏银行,reject_for_now,reject,reviewer_explicit,Reviewer rejects all other banks in this group.,Accepted. Jiangsu Bank remains a good regional bank candidate but is not distinct enough from the retained city-bank standard.,Reject regional banks when the thesis is mainly strong local economy loan growth or regional beta rather than a proved hard-to-replace operating model.,true,2026-05-14T00:00:00+00:00
金融-银行-股份制与城商行,600926,杭州银行,reject_for_now,reject,reviewer_explicit,Reviewer rejects all other banks in this group.,Accepted. Hangzhou Bank is treated as covered by the retained city-bank sample unless later evidence proves a separate moat.,Do not retain multiple similar regional banks without clear evidence that each has a distinct moat.,true,2026-05-14T00:00:00+00:00
金融-银行-股份制与城商行,601838,成都银行,reject_for_now,reject,reviewer_explicit,Reviewer rejects all other banks in this group.,Accepted. Chengdu Bank's strengths are not enough to offset regional concentration and the lack of a clearly separate watchlist role.,Strong local asset quality and ROE are insufficient when they may reflect regional credit conditions rather than a portable or durable business-quality moat.,true,2026-05-14T00:00:00+00:00
